,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
17.Yellow,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
17.Pink,0.0,0.0,0.13131313131313133,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.08080808080808081,0.10101010101010101,0.0,0.030303030303030304,0.0,0.0,0.020202020202020204,0.0,0.06060606060606061,0.10101010101010101,0.0,0.0,-0.0,-0.0,-0.11,-0.16,0.1,-0.09,-0.1,0.0
18.Pink,0.0,0.0,0.1932367149758454,0.0,0.0966183574879227,0.00966183574879227,0.0,0.0,0.0,0.18840579710144928,0.23671497584541062,0.0,0.14009661835748793,0.0,0.0,0.01932367149758454,0.0,0.15942028985507245,0.10628019323671498,0.01932367149758454,0.0,-0.01,-0.01,-0.07,0.04,0.01,-0.01,0.02,-0.04
18.Blue,0.0,0.0,0.20408163265306123,0.0,0.07142857142857142,0.01020408163265306,0.0,0.0,0.0,0.030612244897959183,0.25510204081632654,0.01020408163265306,0.09183673469387756,0.0,0.0,0.04081632653061224,0.02040816326530612,0.1326530612244898,0.12244897959183673,0.01020408163265306,0.0,-0.09,0.02,0.01,0.13,0.06,0.0,-0.08,-0.02
18.Orange,0.0,0.0,0.25,0.0,0.11956521739130435,0.06521739130434782,0.0,0.0,0.0,0.10869565217391304,0.29347826086956524,0.0,0.2391304347826087,0.0,0.0,0.14130434782608695,0.010869565217391304,0.2717391304347826,0.09782608695652174,0.03260869565217391,0.0,-0.11,0.01,-0.02,0.13,-0.06,-0.01,0.01,0.0
19.Blue,0.0,0.0,0.10526315789473684,0.0,0.03508771929824561,0.017543859649122806,0.0,0.0,0.0,0.10526315789473684,0.12280701754385964,0.0,0.15789473684210525,0.0,0.0,0.03508771929824561,0.0,0.17543859649122806,0.07017543859649122,0.0,0.0,-0.17,-0.22,-0.04,-0.14,-0.24,-0.05,-0.04,0.0
19.Pink,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.24210526315789474,0.12631578947368421,0.0,0.05263157894736842,0.0,0.0,0.031578947368421054,0.010526315789473684,0.1368421052631579,0.12631578947368421,0.0,0.0,0.08,-0.06,0.05,-0.06,-0.03,0.05,0.03,0.0
19.Orange,0.0,0.0,0.2558139534883721,0.0,0.09302325581395349,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.23255813953488372,0.0,0.09302325581395349,0.0,0.0,0.023255813953488372,0.0,0.32558139534883723,0.06976744186046512,0.0,0.023255813953488372,-0.15,-0.18,-0.15,-0.12,-0.0,-0.25,0.02,0.0
2.Pink,0.0,0.0,0.125,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.041666666666666664,0.25,0.0,0.125,0.0,0.0,0.020833333333333332,0.0,0.14583333333333334,0.08333333333333333,0.0,0.0,-0.02,-0.05,0.07,0.05,0.07,0.2,0.02,-0.1
2.Blue,0.0,0.0,0.1951219512195122,0.0,0.14634146341463414,0.04878048780487805,0.0,0.0,0.0,0.0975609756097561,0.36585365853658536,0.0,0.12195121951219512,0.0,0.0,0.024390243902439025,0.0,0.3170731707317073,0.04878048780487805,0.024390243902439025,0.0,-0.08,-0.12,0.04,-0.15,0.22,-0.14,-0.13,0.0
20.Blue,0.0,0.0,0.14814814814814814,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.13580246913580246,0.2345679012345679,0.0,0.06172839506172839,0.0,0.0,0.06172839506172839,0.0,0.04938271604938271,0.012345679012345678,0.0,0.0,-0.19,-0.14,-0.24,-0.08,-0.17,0.12,-0.12,0.0
20.Pink,0.0,0.0,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.21,0.04,0.02,0.17,0.19,-0.07,0.17,-0.04
