,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
17.2,0.0,0.0,0.25925925925925924,0.0,0.14814814814814814,0.018518518518518517,0.0,0.0,0.0,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.018518518518518517,0.0,0.0,0.05555555555555555,0.24074074074074073,0.1111111111111111,0.0,0.0,0.0,-0.03,-0.05,-0.09,0.08,-0.01,-0.11,-0.07,0.04
18.4,0.0,0.0,0.26851851851851855,0.0,0.18518518518518517,0.009259259259259259,0.037037037037037035,0.0,0.0,0.2222222222222222,0.18518518518518517,0.17592592592592593,0.1388888888888889,0.027777777777777776,0.0,0.07407407407407407,0.14814814814814814,0.46296296296296297,0.1111111111111111,0.0,0.0,0.11,-0.01,0.04,0.12,0.0,-0.08,-0.05,-0.08
18.3,0.0,0.0,0.09090909090909091,0.0,0.056818181818181816,0.011363636363636364,0.0,0.0,0.0,0.18181818181818182,0.07954545454545454,0.045454545454545456,0.09090909090909091,0.03409090909090909,0.0,0.022727272727272728,0.1590909090909091,0.13636363636363635,0.07954545454545454,0.0,0.011363636363636364,-0.08,-0.03,-0.09,0.09,-0.01,0.06,-0.09,-0.02
18.2,0.0,0.0,0.09345794392523364,0.0,0.06542056074766354,0.009345794392523364,0.018691588785046728,0.0,0.0,0.21495327102803738,0.056074766355140186,0.1308411214953271,0.04672897196261682,0.0,0.0,0.04672897196261682,0.12149532710280374,0.2616822429906542,0.056074766355140186,0.0,0.0,-0.17,-0.03,0.09,0.08,-0.02,0.07,-0.03,-0.01
18.1,0.0,0.0,0.1282051282051282,0.0,0.1282051282051282,0.02564102564102564,0.0,0.0,0.0,0.1282051282051282,0.10256410256410256,0.3076923076923077,0.07692307692307693,0.0,0.0,0.02564102564102564,0.10256410256410256,0.28205128205128205,0.07692307692307693,0.0,0.0,-0.03,-0.07,-0.09,-0.03,-0.07,-0.04,-0.01,0.0
19.1,0.0,0.0,0.3411764705882353,0.0,0.2529411764705882,0.03529411764705882,0.0058823529411764705,0.0,0.0,0.2411764705882353,0.2411764705882353,0.24705882352941178,0.058823529411764705,0.011764705882352941,0.0,0.023529411764705882,0.14705882352941177,0.2823529411764706,0.06470588235294118,0.0058823529411764705,0.0,-0.11,0.04,-0.07,-0.08,-0.08,-0.02,-0.11,-0.04
19.3,0.0,0.0,0.2,0.0,0.11818181818181818,0.00909090909090909,0.0,0.0,0.0,0.20909090909090908,0.21818181818181817,0.18181818181818182,0.045454545454545456,0.00909090909090909,0.0,0.0,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0,0.0,-0.02,0.03,-0.0,0.12,0.0,-0.1,-0.06,-0.01
19.2,0.0,0.0,0.1111111111111111,0.0,0.08333333333333333,0.013888888888888888,0.027777777777777776,0.0,0.0,0.1111111111111111,0.125,0.06944444444444445,0.05555555555555555,0.0,0.0,0.027777777777777776,0.08333333333333333,0.25,0.027777777777777776,0.0,0.0,-0.08,0.01,-0.09,0.01,-0.06,-0.01,-0.02,0.19
20.4,0.0,0.0,0.19696969696969696,0.0,0.10606060606060606,0.03787878787878788,0.0,0.0,0.0,0.25757575757575757,0.06818181818181818,0.15151515151515152,0.09848484848484848,0.015151515151515152,0.0,0.05303030303030303,0.17424242424242425,0.4166666666666667,0.08333333333333333,0.007575757575757576,0.0,-0.04,-0.05,-0.03,0.09,0.03,-0.08,0.02,0.16
20.1,0.0,0.0,0.1557377049180328,0.0,0.11475409836065574,0.03278688524590164,0.0,0.0,0.00819672131147541,0.16393442622950818,0.23770491803278687,0.16393442622950818,0.05737704918032787,0.00819672131147541,0.0,0.040983606557377046,0.14754098360655737,0.29508196721311475,0.11475409836065574,0.0,0.0,0.05,0.04,0.03,0.06,0.06,-0.15,0.02,-0.02
20.3,0.0,0.0,0.20930232558139536,0.0,0.1744186046511628,0.011627906976744186,0.0,0.0,0.0,0.22093023255813954,0.13953488372093023,0.11627906976744186,0.1744186046511628,0.03488372093023256,0.0,0.023255813953488372,0.27906976744186046,0.4069767441860465,0.05813953488372093,0.0,0.0,-0.08,0.06,0.09,-0.06,0.03,0.16,-0.06,-0.02
20.2,0.0,0.0,0.0975609756097561,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.36585365853658536,0.14634146341463414,0.04878048780487805,0.0,0.024390243902439025,0.0975609756097561,0.14634146341463414,0.04878048780487805,0.0,0.0,-0.03,0.06,0.0,0.12,-0.02,0.15,0.02,0.0
21.3,0.0,0.0,0.17424242424242425,0.0,0.14393939393939395,0.045454545454545456,0.007575757575757576,0.0,0.007575757575757576,0.23484848484848486,0.14393939393939395,0.05303030303030303,0.17424242424242425,0.007575757575757576,0.0,0.022727272727272728,0.13636363636363635,0.3560606060606061,0.11363636363636363,0.015151515151515152,0.0,-0.04,-0.01,-0.01,0.02,-0.03,-0.05,0.09,-0.06
21.2,0.0,0.0,0.23931623931623933,0.0,0.1794871794871795,0.05982905982905983,0.0,0.0,0.0,0.3418803418803419,0.23931623931623933,0.23931623931623933,0.09401709401709402,0.017094017094017096,0.008547008547008548,0.02564102564102564,0.20512820512820512,0.48717948717948717,0.1282051282051282,0.0,0.0,0.09,0.05,-0.02,-0.07,0.05,0.13,0.03,0.01
21.4,0.0,0.0,0.07777777777777778,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.17777777777777778,0.1,0.2,0.044444444444444446,0.0,0.0,0.0,0.15555555555555556,0.3333333333333333,0.07777777777777778,0.0,0.0,-0.09,0.05,0.0,0.12,0.05,0.13,-0.0,0.03
21.5,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.15217391304347827,0.021739130434782608,0.06521739130434782,0.21739130434782608,0.0,0.0,0.21739130434782608,0.2826086956521739,0.1956521739130435,0.13043478260869565,0.06521739130434782,0.0,0.0,-0.06,-0.01,0.09,-0.05,-0.01,-0.02,0.0
21.1,0.0,0.0,0.25,0.0,0.125,0.0625,0.0,0.0,0.0,0.0625,0.225,0.2875,0.0375,0.0,0.0,0.025,0.125,0.3625,0.075,0.0,0.0,-0.01,0.03,0.13,0.14,0.13,0.07,0.02,-0.01
22.1,0.0,0.0,0.14606741573033707,0.0,0.0898876404494382,0.033707865168539325,0.0,0.0,0.011235955056179775,0.11235955056179775,0.19101123595505617,0.1348314606741573,0.2696629213483146,0.033707865168539325,0.0,0.0449438202247191,0.1348314606741573,0.2696629213483146,0.056179775280898875,0.0,0.0,-0.02,-0.05,0.02,-0.03,-0.04,-0.03,0.02,-0.03
22.3,0.0,0.0,0.046875,0.0,0.03125,0.0,0.0,0.0,0.0,0.046875,0.125,0.1875,0.15625,0.03125,0.0,0.0,0.03125,0.140625,0.046875,0.0,0.0,-0.04,-0.02,0.04,0.05,0.01,-0.05,-0.07,0.0
22.2,0.0,0.0,0.13559322033898305,0.0,0.1016949152542373,0.03389830508474576,0.0,0.0,0.0,0.05084745762711865,0.1694915254237288,0.1016949152542373,0.1016949152542373,0.03389830508474576,0.0,0.01694915254237288,0.1016949152542373,0.2711864406779661,0.11864406779661017,0.01694915254237288,0.0,-0.05,-0.02,0.0,0.06,-0.1,0.01,-0.15,-0.08
22.4,0.0,0.0,0.140625,0.0,0.140625,0.0,0.0,0.0,0.0,0.140625,0.21875,0.125,0.09375,0.0,0.0,0.046875,0.171875,0.28125,0.0625,0.0,0.0,-0.07,0.05,-0.1,0.08,-0.04,0.03,-0.01,0.06
22.5,0.0,0.0,0.19736842105263158,0.0,0.17105263157894737,0.039473684210526314,0.0,0.0,0.0,0.10526315789473684,0.14473684210526316,0.13157894736842105,0.2631578947368421,0.02631578947368421,0.0,0.10526315789473684,0.2631578947368421,0.35526315789473684,0.15789473684210525,0.039473684210526314,0.0,0.11,0.01,-0.07,0.04,0.12,-0.0,0.17,-0.0
