Group,hash_edge,hedges,factuality,first_person_pl,first_person,first_person_start,second_person,direct_question,direct_start,has_pos,has_neg,article,auxverb,conj,adverb,ppron,ipron,preps,quant,aoa,conc,fam,img,Group_Lead,Group_Sat
12,0.1,0.03,0,0.11,0.1,0,0.08,0.03,0,0.14,0.06,0.08,-0.05,-0.03,-0.07,0.02,0.23,0.08,-0.01,299.5,318.915,595.64,344.905,4,4.1
13,0.27,0.18,0.03,0.17,0.26,0,0.22,0.03,0.02,0.34,0.12,-0.15,-0.14,-0.08,-0.01,-0.04,-0.04,-0.12,0,228.5475,293.5925,600.8125,310.75,2.75,3.95
14,0.18,0.09,0.03,0.09,0.23,0,0.18,0.01,0.01,0.22,0.13,-0.1,-0.08,-0.06,-0.01,-0.1,-0.06,-0.06,-0.04,292.4125,301.6675,598.11,325.5475,3.75,4.05
15,0.16,0.06,0.02,0.09,0.21,0,0.05,0.01,0,0.18,0.09,-0.04,-0.02,-0.11,0.08,-0.03,-0.01,-0.02,-0.02,313.0566667,306.3366667,592.4966667,324.7033333,4.33,4
16,0.18,0.08,0.03,0.08,0.19,0,0.11,0.02,0.01,0.24,0.11,-0.08,-0.02,-0.07,-0.12,-0.01,-0.03,0,-0.04,271.9275,318.2175,596.09,334.2925,3.5,3.75
17,0.21,0.1,0.02,0.13,0.25,0.01,0.15,0.05,0,0.18,0.11,-0.07,0.01,-0.03,0.1,0,-0.01,-0.02,-0.03,287.1166667,306.5333333,598.4733333,322.9866667,3.33,2.93
18,0.12,0.03,0.01,0.16,0.14,0.01,0.09,0.03,0.01,0.19,0.1,-0.08,-0.16,-0.05,-0.11,-0.09,-0.09,0,0,298.8366667,297.8266667,596.6766667,321.52,3.33,4.07
19,0.16,0.07,0,0.08,0.28,0,0.04,0.04,0,0.13,0.02,-0.05,-0.06,-0.09,0.03,0.01,-0.01,0.01,-0.01,259.8233333,313.3966667,596.7233333,335.6666667,3,4.33
20,0.16,0.08,0.02,0.08,0.28,0,0.12,0.02,0.01,0.2,0.05,0.03,-0.09,0.04,0.06,0,-0.06,-0.08,-0.03,295.6433333,303.7366667,597.0966667,320.76,3.33,3.93
21,0.14,0.08,0.01,0.12,0.29,0.01,0.14,0.03,0.01,0.14,0.06,-0.03,-0.03,-0.01,0.03,0.05,0.01,0.03,0.04,281.99,316.2633333,595.8133333,333.9233333,3.33,4.13
