speaker_id,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,age_of_acquisition,concreteness,familiarity,imageability,article,auxiliary_verb,conjunction,adverb,personal_pronoun,impersonal_pronoun,preposition,quantifier
1.Pink,0,0,0.1,0,0.05,0.03,0,0,0,0.05,0.17,0.01,0.11,0,0,0,0.02,0.14,0.07,0,0,40.99,209.27,410.97,230.25,0.03,0.02,0.1,0.1,0.05,0.01,0,0.12
1.Blue,0,0,0.14,0,0.1,0.02,0,0,0.01,0.07,0.33,0.01,0.09,0,0,0.01,0,0.23,0.07,0.02,0,40.9,222.79,435.07,240.81,0.06,-0.07,-0.03,-0.04,-0.13,0.06,-0.04,-0.07
1.Green,0,0,0.03,0,0.01,0.01,0,0,0,0.06,0.18,0.01,0.25,0,0,0.03,0,0.15,0.04,0,0.01,53.32,262.31,490.2,277.36,0.39,0.11,0.08,0.19,0.14,0.15,-0.06,0
10.Orange,0,0,0.15,0,0.14,0.02,0,0,0,0.12,0.29,0.02,0.07,0,0,0.02,0,0.25,0.03,0,0,50.22,230.35,477.94,256.59,0.03,-0.1,-0.03,-0.01,-0.08,-0.04,-0.01,-0.02
10.Pink,0,0,0.1,0,0.1,0.04,0,0,0,0.06,0.31,0.02,0.08,0,0,0,0.02,0.17,0.1,0,0,90.87,271.77,517.14,290.95,-0.05,0.06,-0.12,-0.16,-0.07,-0.03,-0.07,0.47
11.Pink,0,0,0.34,0,0.25,0.01,0,0,0.01,0.06,0.35,0.01,0.28,0,0,0.04,0.01,0.43,0.11,0,0,88.24,270.74,551.07,293.7,0.02,0.06,0.03,-0.04,0.03,0.05,0,0.04
11.Green,0,0,0.16,0,0.07,0.01,0,0,0,0.16,0.13,0.01,0.04,0,0,0.03,0.01,0.17,0.14,0,0,60.75,204.13,410.17,223.47,0.03,-0.03,-0.09,-0.06,-0.08,-0.12,-0.09,-0.07
12.Blue,0,0,0.16,0,0.09,0.05,0,0,0,0.04,0.36,0,0.07,0,0,0.05,0,0.2,0.16,0,0,80.67,236.26,454.87,251.81,0.13,-0.01,-0.16,-0.04,-0.01,-0.09,0,0
12.Green,0,0,0.28,0,0.11,0,0,0,0,0,0.22,0,0.11,0,0,0,0,0.28,0.11,0,0,60.86,187.67,364.89,198.48,-0.12,-0.03,-0.06,-0.16,-0.08,0.1,-0.15,0
12.Pink,0,0,0.18,0,0.05,0.02,0,0,0,0.05,0.23,0,0.05,0,0,0.02,0.03,0.25,0.09,0,0,57.68,213.76,427.46,234.26,-0.01,0.13,-0.08,-0.25,0.07,0.15,0.02,-0.05
12.Orange,0,0,0.08,0,0.06,0.06,0,0,0,0,0.36,0,0.11,0,0,0,0,0.36,0.17,0,0,60.94,193.18,381.58,203.85,0,0.04,-0.07,-0.14,-0.16,0,0,0
13.Yellow,0,0,0.09,0,0.03,0,0,0,0,0.13,0.12,0,0.11,0,0,0.04,0,0.17,0.05,0,0,66.96,267.23,513.18,292.01,0.12,-0.03,0.03,-0.08,0.02,0.53,0.19,0
13.Blue,0,0,0.12,0,0.02,0,0,0,0.01,0.08,0.08,0,0,0,0,0,0,0.05,0.08,0,0,19.98,160.59,271.51,179.35,0.03,-0.06,-0.08,-0.07,0.01,-0.06,-0.04,-0.01
14.Red,0,0,0.3,0,0.23,0.03,0,0,0,0.23,0.29,0,0.28,0,0,0.04,0.01,0.43,0.16,0.05,0,117.64,271.56,539.37,288.08,-0.17,-0.32,-0.15,-0.08,-0.14,0.02,-0.17,0.23
14.Blue,0,0,0.26,0,0.11,0.06,0,0,0,0.06,0.26,0,0.17,0,0,0.03,0.03,0.23,0.06,0,0,89.63,198.26,390.1,209.17,-0.07,-0.1,-0.08,-0.03,-0.02,-0.06,-0.04,-0.03
14.Yellow,0,0,0.15,0,0.08,0,0,0,0,0,0.15,0,0,0,0,0,0,0.08,0.08,0,0,21.62,127.04,272.97,137.13,-0.08,0.02,-0.08,0,0.08,0.06,-0.08,0
14.Pink,0,0,0.13,0,0.13,0,0,0,0,0.13,0.13,0,0.13,0,0,0,0,0.2,0,0,0,0,73.8,160.87,79.3,-0.27,-0.14,-0.02,0.07,-0.08,-0.18,-0.2,-0.18
15.Orange,0,0,0.17,0,0.09,0.03,0,0,0.01,0.07,0.25,0,0.09,0,0,0,0.03,0.19,0.12,0,0,63.04,200.04,386.87,220.17,-0.07,-0.07,0,-0.02,-0.13,-0.01,-0.04,-0.11
15.Purple,0,0,0.16,0,0.12,0.01,0,0,0,0.08,0.29,0,0.19,0,0,0.01,0.01,0.23,0.09,0,0,49.12,213.17,413.96,225.54,-0.02,-0.04,-0.17,-0.07,-0.04,-0.05,-0.01,0.04
15.Yellow,0,0,0.21,0,0.1,0.06,0,0,0,0.04,0.23,0,0.23,0,0,0.01,0,0.22,0.13,0,0,61.39,209.2,405.98,226.69,-0.17,-0.17,-0.04,-0.03,-0.21,-0.08,-0.18,-0.05
15.Blue,0,0,0.19,0,0.04,0.05,0,0.01,0.02,0.16,0.14,0,0.2,0,0,0.03,0.02,0.23,0.19,0.01,0.01,36.95,200.13,415.07,218.3,-0.12,-0.04,-0.04,0.09,-0.02,-0.09,-0.01,-0.03
16.Yellow,0,0,0.11,0,0.04,0.01,0,0.01,0,0.08,0.16,0,0.04,0,0,0,0,0.16,0.09,0,0,32.15,212.87,414.34,228.13,-0.04,-0.12,-0.1,0.08,-0.04,-0.11,-0.11,-0.05
16.Blue,0,0,0.25,0,0.13,0.04,0,0,0,0.13,0.25,0,0.08,0,0,0.04,0,0.17,0.12,0,0,102.26,231.19,447.03,247.09,-0.09,-0.14,-0.23,0.15,-0.17,0.08,0.05,0
16.Pink,0,0,0.19,0,0.05,0,0,0,0,0.05,0.33,0,0,0,0,0,0,0.24,0,0,0,33.86,188.24,364.95,198.79,0,0.2,0,0,0.12,0,0,0
17.Orange,0,0,0.24,0,0.11,0.01,0,0,0,0.1,0.21,0.01,0.09,0,0,0.03,0.01,0.25,0.13,0,0,35.57,199.21,409.68,219.34,-0.16,-0.1,0,-0.15,-0.07,-0.01,0,-0.09
17.Blue,0,0,0.17,0,0.09,0.07,0,0,0,0.07,0.24,0,0.18,0,0,0,0.02,0.37,0.1,0.04,0,96.2,260.89,500.79,278.71,-0.13,0.02,-0.16,-0.18,-0.07,-0.04,-0.08,-0.06
17.Yellow,0,0,0.17,0,0.17,0.17,0,0,0,0,0.5,0,0.5,0,0,0,0,0.33,0,0.33,0,82.33,341.88,600.54,343.11,0,0,0,0,0,0,0.17,0
17.Pink,0,0,0.13,0,0.05,0,0,0,0,0.08,0.1,0,0.03,0,0,0.02,0,0.06,0.1,0,0,44.99,258.45,450.76,274.51,0,0,-0.11,-0.16,0.1,-0.09,-0.1,0
18.Pink,0,0,0.19,0,0.1,0.01,0,0,0,0.19,0.24,0,0.14,0,0,0.02,0,0.16,0.11,0.02,0,55.39,235.05,471.86,254.91,-0.01,-0.01,-0.07,0.04,0.01,-0.01,0.02,-0.04
18.Blue,0,0,0.2,0,0.07,0.01,0,0,0,0.03,0.24,0.01,0.09,0,0,0.04,0.02,0.13,0.12,0.01,0,34.15,202.36,383.87,210.45,-0.09,0.02,0.01,0.13,0.06,0,-0.08,-0.04
18.Orange,0,0,0.25,0,0.12,0.07,0,0,0,0.11,0.29,0,0.24,0,0,0.14,0.01,0.27,0.1,0.03,0,84.6,272.15,538.71,287.69,-0.11,0.01,-0.02,0.13,-0.06,-0.01,0.01,0
19.Blue,0,0,0.11,0,0.04,0.02,0,0,0,0.11,0.12,0,0.16,0,0,0.04,0,0.18,0.07,0,0,42.63,168.67,343.28,180.96,-0.17,-0.22,-0.04,-0.14,-0.24,-0.05,-0.04,0
19.Pink,0,0,0.06,0,0,0,0,0.01,0.02,0.24,0.12,0.01,0.05,0,0,0.03,0.01,0.14,0.13,0,0,79.91,287.86,552.5,311.4,0.08,-0.06,0.05,-0.06,-0.03,0.05,0.03,0
19.Orange,0,0,0.26,0,0.09,0.02,0,0,0,0.05,0.23,0,0.09,0,0,0.02,0.02,0.33,0.07,0,0.02,39.59,195.73,415.91,216.38,-0.15,-0.18,-0.15,-0.12,0,-0.25,0.02,0
2.Pink,0,0,0.12,0,0.1,0,0,0,0,0.04,0.25,0,0.12,0,0,0.02,0,0.15,0.08,0,0,76.79,254.86,488.23,275.45,-0.02,-0.05,0.07,0.05,0.07,0.2,0.02,-0.1
2.Blue,0,0,0.2,0,0.15,0.05,0,0,0,0.1,0.37,0,0.12,0,0,0.02,0,0.32,0.05,0.02,0,94.24,269.33,508.86,284.29,-0.08,-0.12,0.04,-0.15,0.22,-0.14,-0.13,0
20.Blue,0,0,0.15,0,0.06,0,0,0,0,0.14,0.23,0,0.06,0,0,0.06,0,0.05,0.01,0,0,66.92,227.08,466.82,243.97,-0.19,-0.14,-0.24,-0.08,-0.17,0.12,-0.12,0
20.Pink,0,0,0.12,0,0.12,0,0,0,0,0,0.42,0.04,0,0,0,0,0,0.15,0,0,0,78.63,195.07,364.37,211.44,0.21,0.04,0.02,0.17,0.19,-0.07,0.17,-0.04
20.Orange,0,0,0.21,0,0.06,0,0,0,0,0,0.24,0,0.03,0,0,0,0,0.3,0.06,0,0,31.82,230.44,448.51,244.99,-0.16,-0.08,-0.03,0,0.02,-0.09,-0.03,0
